"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
0.000,0.401,,
0.050,0.359,-0.83,
0.100,0.318,-0.82,0.3
0.150,0.278,-0.80,0.4
0.200,0.237,-0.78,1.4
0.250,0.200,-0.75,3.8
0.300,0.162,-0.46,6.8
0.350,0.129,0.04,7.9
0.400,0.171,0.48,5.8
0.450,0.203,0.67,2.6
0.500,0.234,0.64,0.6
0.550,0.266,0.66,0.1
0.600,0.300,0.67,0.1
0.650,0.333,0.67,0.0
0.700,0.367,0.66,0.0
0.750,0.400,0.66,0.0
0.800,0.433,0.66,0.0
0.850,0.466,0.66,0.0
0.900,0.499,0.66,0.0
0.950,0.532,0.66,0.0
1.000,0.565,0.66,0.0
1.050,0.598,0.66,0.0
1.100,0.632,0.66,0.0
1.150,0.665,0.66,0.0
1.200,0.698,0.66,0.0
1.250,0.731,0.66,0.0
1.300,0.764,0.66,0.0
1.350,0.797,0.66,-3.3E-4
1.400,0.830,0.66,0.0
1.450,0.864,0.66,0.0
1.500,0.897,0.66,0.0
1.550,0.930,0.67,0.0
1.600,0.964,0.67,0.0
1.650,0.997,0.67,0.0
1.700,1.030,0.67,0.0
1.750,1.064,0.66,0.0
1.800,1.096,0.66,0.0
1.850,1.130,0.66,0.0
1.900,1.163,0.67,0.0
1.950,1.196,0.66,0.0
2.000,1.229,0.66,-0.1
2.050,1.263,0.65,-0.1
2.100,1.296,0.65,-0.1
2.150,1.326,0.65,0.0
2.200,1.360,0.65,0.0
2.250,1.392,0.65,-0.1
2.300,1.424,0.64,-0.1
2.350,1.456,0.64,-0.1
2.400,1.488,0.63,-0.1
2.450,1.520,0.63,-0.1
2.500,1.551,0.62,-0.1
2.550,1.582,0.62,-0.1
2.600,1.612,0.62,-0.1
2.650,1.643,0.61,-0.1
2.700,1.674,0.60,-0.1
2.750,1.704,0.60,-0.2
2.800,1.733,0.59,-0.3
2.850,1.763,0.56,-0.5
2.900,1.792,0.54,-0.4
2.950,1.813,0.51,-0.2
3.000,1.844,0.52,-0.7
3.050,1.865,0.52,-2.4
3.100,1.897,0.33,-4.7
3.150,1.916,-0.01,-5.8
3.200,1.892,-0.36,-4.6
3.250,1.867,-0.52,
3.300,1.838,-0.54,
3.350,1.813,,
