"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.000,0.002,-4.839E-5,
2.500E-4,,,-2.76E-8
5.000E-4,0.001,-6.182E-5,
7.500E-4,,,-4.17E-8
0.001,0.001,5.322E-6,
0.001,,,-4.94E-8
0.002,0.002,-3.618E-5,
0.002,,,-7.69E-8
0.002,0.003,-7.402E-5,
0.002,,,-9.93E-8
0.003,0.002,-1.543E-5,
0.003,,,-1.20E-7
0.003,0.001,-6.548E-5,
0.003,,,-1.57E-7
0.004,0.001,-8.501E-5,
0.004,,,-2.00E-7
0.004,4.907E-4,-8.745E-5,
0.004,,,-2.34E-7
0.005,0.001,-4.839E-5,
0.005,,,-2.48E-7
0.005,9.790E-4,-5.664E-6,
0.005,,,-2.66E-7
0.006,0.002,-6.792E-5,
0.006,,,-2.76E-7
0.006,0.002,2.974E-5,
0.006,,,-2.84E-7
0.007,0.002,-6.426E-5,
0.007,,,-3.14E-7
0.007,0.002,-5.571E-5,
0.007,,,-3.39E-7
0.008,0.002,-4.473E-5,
0.008,,,-3.61E-7
0.008,0.001,-4.106E-5,
0.008,,,-3.80E-7
0.009,0.001,-3.496E-5,
0.009,,,-3.99E-7
0.009,0.003,-3.984E-5,
0.009,,,-4.24E-7
0.010,0.001,-6.060E-5,
0.010,,,-4.48E-7
0.010,0.002,-3.496E-5,
0.010,,,-4.71E-7
0.011,0.002,-5.693E-5,
0.011,,,-4.97E-7
0.011,0.001,-4.961E-5,
0.011,,,-5.18E-7
0.011,0.002,-3.496E-5,
0.012,,,-5.40E-7
0.012,0.002,-5.327E-5,
0.012,,,-5.66E-7
0.013,2.441E-6,-4.961E-5,
0.013,,,-5.92E-7
0.013,0.002,-5.449E-5,
0.013,,,-6.29E-7
0.014,0.001,-9.111E-5,
0.014,,,-6.57E-7
0.014,0.002,-2.153E-5,
0.014,,,-6.68E-7
0.015,0.002,-2.275E-5,
0.015,,,-6.86E-7
0.015,-1.196E-4,-4.961E-5,
0.015,,,-7.16E-7
0.016,0.002,-7.158E-5,
0.016,,,-7.47E-7
0.016,0.002,-5.327E-5,
0.016,,,-7.72E-7
0.017,0.002,-4.473E-5,
0.017,,,-7.90E-7
0.017,0.002,-2.886E-5,
0.017,,,-8.07E-7
0.018,0.002,-3.862E-5,
0.018,,,-8.18E-7
0.018,7.349E-4,-4.443E-6,
0.018,,,-8.29E-7
0.019,0.002,-3.984E-5,
0.019,,,-8.45E-7
0.019,0.002,-2.520E-5,
0.019,,,-8.61E-7
0.020,0.002,-3.618E-5,
0.020,,,-8.78E-7
0.020,0.002,-3.252E-5,
0.020,,,-9.00E-7
0.021,0.003,-5.693E-5,
0.021,,,-9.25E-7
0.021,0.001,-4.351E-5,
0.021,,,-9.39E-7
0.022,0.002,-1.055E-5,
0.022,,,-9.52E-7
0.022,0.002,-4.351E-5,
0.022,,,-9.74E-7
0.022,0.002,-4.473E-5,
0.023,,,-9.96E-7
0.023,9.790E-4,-4.351E-5,
0.023,,,-1.02E-6
0.023,0.002,-6.670E-5,
0.024,,,-1.05E-6
0.024,0.001,-2.886E-5,
0.024,,,-1.05E-6
0.025,0.002,4.102E-6,
0.025,,,-1.07E-6
0.025,0.001,-4.839E-5,
0.025,,,-1.10E-6
0.026,0.002,-7.891E-5,
0.026,,,-1.12E-6
0.026,0.001,-3.130E-5,
0.026,,,-1.14E-6
0.027,0.001,-2.764E-5,
0.027,,,-1.16E-6
0.027,0.002,-6.060E-5,
0.027,,,-1.18E-6
0.028,0.002,-2.275E-5,
0.028,,,-1.18E-6
0.028,0.002,1.387E-5,
0.028,,,-1.19E-6
0.029,0.002,-3.496E-5,
0.029,,,-1.21E-6
0.029,0.003,-5.205E-5,
0.029,,,-1.24E-6
0.030,6.128E-4,-7.280E-5,
0.030,,,-1.27E-6
0.030,0.002,-4.106E-5,
0.030,,,-1.29E-6
0.031,0.001,-4.106E-5,
0.031,,,-1.32E-6
0.031,0.001,-7.280E-5,
0.031,,,-1.35E-6
0.032,0.002,-5.327E-5,
