"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.000,0.008,-1.229E-4,
2.500E-4,,,-5.35E-8
5.000E-4,0.009,-9.111E-5,
7.500E-4,,,-9.90E-8
0.001,0.007,-9.111E-5,
0.001,,,-1.47E-7
0.002,0.009,-1.009E-4,
0.002,,,-1.92E-7
0.002,0.008,-7.891E-5,
0.002,,,-2.40E-7
0.003,0.008,-1.131E-4,
0.003,,,-2.96E-7
0.003,0.007,-1.094E-4,
0.003,,,-3.39E-7
0.004,0.008,-6.548E-5,
0.004,,,-3.81E-7
0.004,0.009,-9.966E-5,
0.004,,,-4.36E-7
0.005,0.009,-1.216E-4,
0.005,,,-4.92E-7
0.005,0.008,-1.009E-4,
0.005,,,-5.40E-7
0.006,0.008,-9.355E-5,
0.006,,,-5.88E-7
0.006,0.009,-9.600E-5,
0.006,,,-6.29E-7
0.007,0.010,-7.036E-5,
0.007,,,-6.60E-7
0.007,0.009,-5.327E-5,
0.007,,,-6.93E-7
0.008,0.009,-7.891E-5,
0.008,,,-7.31E-7
0.008,0.008,-7.280E-5,
0.008,,,-7.80E-7
0.009,0.008,-1.241E-4,
0.009,,,-8.37E-7
0.009,0.008,-1.045E-4,
0.009,,,-8.88E-7
0.010,0.008,-9.844E-5,
0.010,,,-9.40E-7
0.010,0.009,-1.106E-4,
0.010,,,-9.90E-7
0.011,0.009,-8.623E-5,
0.011,,,-1.04E-6
0.011,0.010,-1.155E-4,
0.011,,,-1.09E-6
0.011,0.009,-1.033E-4,
0.012,,,-1.14E-6
0.012,0.009,-6.914E-5,
0.012,,,-1.18E-6
0.013,0.009,-1.131E-4,
0.013,,,-1.24E-6
0.013,0.009,-1.204E-4,
0.013,,,-1.30E-6
0.014,0.008,-1.241E-4,
0.014,,,-1.36E-6
0.014,0.009,-1.106E-4,
0.014,,,-1.41E-6
0.015,0.009,-9.966E-5,
0.015,,,-1.47E-6
0.015,0.009,-1.045E-4,
0.015,,,-1.52E-6
0.016,0.009,-1.155E-4,
0.016,,,-1.57E-6
0.016,0.008,-8.989E-5,
0.016,,,-1.61E-6
0.017,0.008,-7.158E-5,
0.017,,,-1.67E-6
0.017,0.008,-1.448E-4,
0.017,,,-1.74E-6
0.018,0.008,-1.436E-4,
0.018,,,-1.80E-6
0.018,0.009,-1.045E-4,
0.018,,,-1.85E-6
0.019,0.009,-1.143E-4,
0.019,,,-1.91E-6
0.019,0.009,-1.204E-4,
0.019,,,-1.97E-6
0.020,0.009,-9.355E-5,
0.020,,,-2.01E-6
0.020,0.008,-7.280E-5,
0.020,,,-2.05E-6
0.021,0.009,-8.989E-5,
0.021,,,-2.10E-6
0.021,0.008,-1.302E-4,
0.021,,,-2.17E-6
0.022,0.008,-1.375E-4,
0.022,,,-2.23E-6
0.022,0.009,-9.600E-5,
0.022,,,-2.28E-6
0.022,0.008,-1.241E-4,
0.023,,,-2.34E-6
0.023,0.007,-9.966E-5,
0.023,,,-2.40E-6
0.023,0.008,-1.216E-4,
0.024,,,-2.44E-6
0.024,0.007,-7.280E-5,
0.024,,,-2.49E-6
0.025,0.008,-1.021E-4,
0.025,,,-2.54E-6
0.025,0.008,-8.501E-5,
0.025,,,-2.58E-6
0.026,0.008,-1.119E-4,
0.026,,,-2.64E-6
0.026,0.008,-1.192E-4,
0.026,,,-2.69E-6
0.027,0.008,-6.060E-5,
0.027,,,-2.73E-6
0.027,0.008,-9.722E-5,
0.027,,,-2.77E-6
0.028,0.008,-7.280E-5,
0.028,,,-2.81E-6
0.028,0.009,-9.478E-5,
0.028,,,-2.87E-6
0.029,0.007,-1.326E-4,
0.029,,,-2.92E-6
0.029,0.008,-9.478E-5,
0.029,,,-2.97E-6
0.030,0.008,-1.058E-4,
0.030,,,-3.03E-6
0.030,0.007,-1.277E-4,
0.030,,,-3.10E-6
0.031,0.009,-1.229E-4,
0.031,,,-3.15E-6
0.031,0.008,-1.070E-4,
0.031,,,-3.21E-6
0.032,0.009,-1.216E-4,
0.032,,,-3.26E-6
0.032,0.008,-8.501E-5,
0.032,,,-3.32E-6
0.033,0.009,-1.314E-4,
0.033,,,-3.36E-6
0.033,0.008,-4.717E-5,
0.033,,,-3.40E-6
0.034,0.010,-1.155E-4,
0.034,,,-3.45E-6
0.034,0.009,-8.257E-5,
0.034,,,-3.51E-6
0.035,0.008,-1.338E-4,
0.035,,,-3.57E-6
0.035,0.008,-1.082E-4,
0.035,,,-3.61E-6
